本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
公	kuŋ1	gung1	gong1	赣			290000		
六	liuʔ6	liuk6	liu4	赣			230000		
兰	lan2	lan2	lan2	赣			120001		
共	kuŋ4	gung4	gong4	赣			135000		
共	kʰuŋ4	kung4	gong4	赣			135000		
共	tɕʰiuŋ4	qiung4	gong4	赣			135000		
关	kuan1	guan1	guan1	赣			180000		
兴	ɕin1	xin1	xing1	赣			145000		
兴	ɕin4	xin4	xing1	赣			145000		
兴	ɕiŋ1	xing1	xing1	赣			145000		
兵	pən1	ben1	bing1	赣			180000		
兵	piŋ1	bing1	bing1	赣			180000		
其	tɕʰi2	qi2	qi2	赣			380000		
具	tɕi4	ji4	ju4	赣			145000		
具	tɕu4	ju4	ju4	赣			145000		
具	tɕʰi4	qi4	ju4	赣			145000		
典	tian3	dian3	dian3	赣			180000		
典	tiɛn3	dien3	dian3	赣			180000		
养	ioŋ3	yong3	yang3	赣			200000		
兼	tɕiɛn1	jien1	jian1	赣			120000		
兼	tɕʰiɛn1	qien1	jian1	赣			120000		
兽	səu4	seu4	shou4	赣			180000		
内	lui4	lui4	nei4	赣			370000		
内	ȵɛi4	nei4	nei4	赣			370000		
冇	mɑu1	mau1	mao3	赣			440656		
冈	koŋ3	gong3	gang1	赣			120000		
册	tsʰɛʔ5	cek5	ce4	赣			145000		
册	tsʰiɛʔ5	ciek5	ce4	赣			145000		
再	tsʰɛi4	cei4	zai4	赣			370000		
再	tsɛi4	zei4	zai4	赣			370000		
冒	mɑu1	mau1	mao4	赣			120000		
冕	miɛn3	mien3	mian3	赣			129240		
冗	luŋ3	lung3	rong3	赣			145000		
写	ɕia3	xia3	xie3	赣			370000		
军	tɕin1	jin1	jun1	赣			120000		
军	tɕuɛn1	jun1	jun1	赣			120000		
军	tɕyn1	jyun1	jun1	赣			120000		
农	luŋ2	lung2	nong2	赣			145000		
农	ȵuŋ2	nung2	nong2	赣			145000		
冠	kuɛn1	gun1	guan1	赣			120000		
冠	kuon4	guon4	guan1	赣			120000		
冤	ȵyon1	nyuon1	yuan1	赣			100164		
冤	yon1	yon1	yuan1	赣			100164		
冤	yon1	yuon1	yuan1	赣			100164		
冬	tuŋ1	dung1	dong1	赣			120000		
冯	fuŋ2	fung2	feng2	赣			120000		
冰	pən1	ben1	bing1	赣			228788		
冰	piɑŋ1	biang1	bing1	赣			228788		
冰	piŋ1	bing1	bing1	赣			228788		
冲	tsʰuŋ1	cung1	chong1	赣			120000		
决	tɕyɵʔ5	jyuok5	jue2	赣			170000		
决	kʰoʔ6	kok6	jue2	赣			170000		
况	kʰuoŋ4	kuong4	kuang4	赣			120000		
冶	ia3	ya3	ye3	赣			14977		
冷	laŋ3	lang3	leng3	赣			145000		
冻	tuŋ4	dung4	dong4	赣			145000		
净	tɕʰiaŋ1	qiang1	jing4	赣			186934		
凄	tɕʰi1	qi1	qi1	赣			120000		
准	tsin3	zin3	zhun3	赣			120000		
准	tsuɛn3	zun3	zhun3	赣			120000		
准	tsyn3	zyun3	zhun3	赣			120000		
凉	lioŋ2	liong2	liang2	赣			120000		
凌	lən2	len2	ling2	赣			120000		
凌	lɛn4	len4	ling2	赣			120000		
凌	liɛn2	lien2	ling2	赣			120000		
减	kan3	gan3	jian3	赣			155000		
减	kaŋ3	gang3	jian3	赣			155000		
凑	tsʰɛu4	ceu4	cou4	赣			300000		
凑	tsʰiu4	ciu4	cou4	赣			300000		
凝	ȵin2	nin2	ning2	赣			120000		
几	tɕi3	ji3	ji3	赣			414956		
凡	fan2	fan2	fan2	赣			120000		
凡	fiɛn2	fien2	fan2	赣			120000		
凤	fuŋ4	fung4	feng4	赣			120000		
凫	fu2	fu2	fu2	赣			107153		
凭	pʰən2	pen2	ping2	赣			155000		
凭	pʰən3	pen3	ping2	赣			155000		
凭	pʰiɑŋ2	piang2	ping2	赣			155000		
凭	pʰiŋ2	ping2	ping2	赣			155000		
凯	kʰɛi3	kei3	kai3	赣			120000		
凰	foŋ2	fong2	huang2	赣			120000		
凳	tɛn4	den4	deng4	赣			120000		
凳	tiɛn4	dien4	deng4	赣			120000		
凶	ɕiuŋ1	xiung1	xiong1	赣			120000		
凸	tʰu1	tu1	tu1	赣			102774		
凸	tʰuʔ6	tuk6	tu1	赣			102774		
凹	ŋɑu1	ngau1	ao1	赣			120000		
出	tsʰit5	cit5	chu1	赣			395397		
出	tsʰyʔ5	cyuk5	chu1	赣			395397		
击	tɕi1	ji1	ji1	赣			220000		
击	tɕiʔ5	jik5	ji1	赣			220000		
函	hon2	hon2	han2	赣			120000		
凿	tsʰɔʔ6	cok6	zao2	赣			145000		
刀	tɑu1	dau1	dao1	赣			120000		
刁	tiau1	diau1	diao1	赣			120000		
刁	tiɛu1	dieu1	diao1	赣			120000		
刃	lin4	lin4	ren4	赣			108064		
分	fən1	fen1	fen1	赣			430000		
分	fin1	fin1	fen1	赣			430000		
切	tɕʰiɛt5	qiet5	qie4	赣			225000		
刊	kʰon1	kon1	kan1	赣			120000		
刑	ɕin2	xin2	xing2	赣			145000		
划	fa2	fa2	hua4	赣			120000		
划	fa4	fa4	hua4	赣			120000		
划	ua2	wa2	hua4	赣			120000		
列	liɛt5	liet5	lie4	赣			290000		
刘	liəu2	lieu2	liu2	赣			150000		
刘	liu2	liu2	liu2	赣			150000		
则	tsaʔ5	zak5	ze2	赣			370000		
则	tsɛʔ5	zek5	ze2	赣			370000		
刚	koŋ1	gong1	gang1	赣			195000		
创	tsʰoŋ3	cong3	chuang4	赣			233989		
初	tsʰu1	cu1	chu1	赣			150000		
初	tɕʰu1	qu1	chu1	赣			150000		
删	san1	san1	shan1	赣			205000		
判	pʰan4	pan4	pan4	赣			120000		
判	pʰɛn4	pen4	pan4	赣			120000		
判	pʰiɛn4	pien4	pan4	赣			120000		
刨	pʰɑu2	pau2	pao2	赣			108066		
利	li1	li1	li4	赣			120000		
别	pʰiɛt6	piet6	bie2	赣			370000		
刮	kuæt5	guaet5	gua1	赣			125000		
到	tɑu4	dau4	dao4	赣			455341		
制	tsi4	zi4	zhi4	赣			145000		
制	tsiʔ4	zik4	zhi4	赣			145000		
刷	sɵʔ5	sok5	shua1	赣			255000		
刷	suɛt5	suet5	shua1	赣			255000		
刹	tsʰæt6	caet6	sha1	赣			120000		
刹	sæt5	saet5	sha1	赣			120000		
刺	tsʰi4	ci4	ci4	赣			120000		
刺	tsʰiʔ4	cik4	ci4	赣			120000		
刻	kʰiɛʔ5	kiek5	ke4	赣			120000		
刻	kʰoʔ6	kok6	ke4	赣			120000		
