本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
旺	uɔŋ6	wong5	wang4	文			100000		
寅	yin0	yin0	yin2	赣			100000		
宝	pau0	bau0	bao3	赣			150000		
泅	tɕʰiu0	qiu0	qiu2	赣			100000		
祭	tɕi0	ji0	ji4	赣			100000		
作	tsɔʔ0	zok0	zuo4	赣			180000		
嘴	tsui0	zui0	zui3	赣			100000		
磨	mo0	mo0	mo2	赣			100000		
个	ko0	go0	ge4	赣			392747		
胯	kʰa0	ka0	kua4	赣			100000		
睏		kun0	kun4	赣			306230		
睏		kun5	kun4	赣			306230	睡	
闪	sɨn0	sen0	shan3	赣			100000		
嘢	ye6	yue5	ye3	赣			100000		
屑	ɕiɛt0	xiet0	xie4	赣			125000		
秺	tsʰa6	ca5	du4	赣			100000		
唦	sa0	sa0	sha1	赣			166520		
乎	fuʔ7	fuk6	hu1	赣			175000		老1
刮	kuat7	guat6	gua1	赣			125000		
宜	i5	yi4	yi2	赣			125000		新1
锯	tɕy5	jyu4	ju4	赣			125000		新1
纪	tɕi5	ji4	ji4	赣			100000		
嗰	ko0	go0	ge3	赣	的	de5	492749		
攒	tsʰun5	cun4	zan3	赣			105000		
危	ui1	wui1	wei1	文			100000		
谐	ɕiɛt7	xiet6	xie2	赣			100000		新1
著	tsu5	zu4	zhu4	赣			100000		新1
糊	fu5	fu4	hu2	赣			125000		
薹	tʰai2	tai2	tai2	赣			100000		
徵	tsɛn1	zen1	zheng1	赣			100000		
唇	tsʰun2	cun2	chun2	赣			130000		新1
於	y2	yu2	yu2	赣			100000		
摺	tsɛt7	zet6	zhe2	赣			100000		
奅	pʰau1	pau1	pao4	赣			125000		
时	ɕi5	xi4	shi2	赣			270000		又1
煊	ɕyon1	xyuon1	xuan1	赣			100000		
锹	kʰot7	kot6	qiao1	赣			100000		
咑		dak6	da1	赣			125000		
嗲	tiᴀ1	dia1	die1	赣			100000		
客	kʰiɛt7	kiet6	ke4	文			175000		
应	in6	yin5	ying1	赣			100000		
和	ho2	ho2	he2	赣			350000		新1
