本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
真定府	tsɨn1 tʰin6 fu3	zen1 tin5 fu3	zhen1 ding4 fu3	文			55		
薛定谔	ɕyot7 tʰin6 ŋɔʔ7	xyuot6 tin5 ngok6	xue1 ding4 e4	文			55		
定县	tʰin6 ɕiɛn6	tin5 xien5	ding4 xian4	文			54		
举棋不定	tɕy3 tɕʰi2 pet7 tʰin6	jyu3 qi2 bet6 tin5	ju3 qi2 bu4 ding4	文			53		
按规定	ŋon5 kui1 tʰin6	ngon4 gui1 tin5	an4 gui1 ding4	文			53		
痛定思痛	tʰuŋ3 tʰin6 sɿ1 tʰuŋ3	tung3 tin5 si1 tung3	tong4 ding4 si1 tong4	文			53		
康定	kʰɔŋ1 tʰin6	kong1 tin5	kang1 ding4	文			52		
标定	piɛu1 tʰin6	bieu1 tin5	biao1 ding4	文			25052		
笃定	tuʔ7 tʰin6	duk6 tin5	du3 ding4	文			52		
决定书	tɕyot7 tʰin6 su1	jyuot6 tin5 su1	jue2 ding4 shu1	文			51		
定义域	tʰin6 ȵi6 yt7	tin5 ni5 yut6	ding4 yi4 yu4	文			51		
定弦	tʰin6 ɕyon5	tin5 xyuon4	ding4 xian2	文			51		
尘埃落定	tsʰɨn2 ŋai1 lɔʔ8 tʰin6	cen2 ngai1 lok7 tin5	chen2 ai1 luo4 ding4	文			51		
抱定	pʰau6 tʰin6	pau5 tin5	bao4 ding4	文			51		
入定	luʔ7 tʰin6	luk6 tin5	ru4 ding4	文			50		
定向生	tʰin6 ɕiɔŋ5 sɛn1	tin5 xiong4 sen1	ding4 xiang4 sheng1	文			50		
定西	tʰin6 ɕi1	tin5 xi1	ding4 xi1	文			49		
捉摸不定	tsɔʔ7 mo1 pet7 tʰin6	zok6 mo1 bet6 tin5	zhuo1 mo1 bu4 ding4	文			49		
罗耶定	lo5 ia5 tʰin6	lo4 ya4 tin5	luo2 ye2 ding4	文			49		
全球定位系统	tɕʰyon2 tɕʰiu2 tʰin6 ui6 ɕi6 tʰuŋ3	qyuon2 qiu2 tin5 wui5 xi5 tung3	quan2 qiu2 ding4 wei4 xi4 tong3	文			48		
定计	tʰin6 tɕi5	tin5 ji4	ding4 ji4	文			48		
镇定自若	tsɨn5 tʰin6 tsʰɿ6 lɔʔ7	zen4 tin5 ci5 lok6	zhen4 ding4 zi4 ruo4	文			48		
决定权	tɕyot7 tʰin6 tɕʰyon2	jyuot6 tin5 qyuon2	jue2 ding4 quan2	文			47		
一锤定音	it7 tsʰui2 tʰin6 in1	yit6 cui2 tin5 yin1	yi1 chui2 ding4 yin1	文			46		
咬定	ŋau3 tʰin6	ngau3 tin5	yao3 ding4	文			46		
定时炸弹	tʰin6 sɿ5 tsᴀ5 tʰan2	tin5 si4 za4 tan2	ding4 shi2 zha4 dan4	文			46		
定约	tʰin6 iɔʔ7	tin5 yok6	ding4 yue1	文			46		
定力	tʰin6 lit7	tin5 lit6	ding4 li4	文			45		
定案	tʰin6 ŋon5	tin5 ngon4	ding4 an4	文			45		
定语	tʰin6 ȵy3	tin5 nyu3	ding4 yu3	文			45		
