本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
典	tiɛn3	dien3	dian3	赣			180000		
兹	tsɿ1	zi1	zi1	赣			120000		
养	iɔŋ3	yong3	yang3	赣			200000		
兼	kan1	gan1	jian1	赣			120000		
兽	seu5	seu4	shou4	赣			180000		本1
冀	tɕi5	ji4	ji4	赣			101273		
内	lui6	lui5	nei4	赣			370000		老1
冈	kɔŋ1	gong1	gang1	赣			120000		
冉	len3	len3	ran3	赣			102959		
册	tsʰɛt7	cet6	ce4	赣			145000		
冒	mau6	mau5	mao4	赣			120000		
冕	mien3	mien3	mian3	赣			129240		
冗	luŋ3	lung3	rong3	赣			145000		
写	ɕia3	xia3	xie3	赣			370000		
军	tɕyn1	jyun1	jun1	赣			120000		
农	luŋ5	lung4	nong2	赣			145000		
冠	kuon1	guon1	guan1	赣			120000		
冢	tsuŋ3	zung3	zhong3	赣			107521		
冤	yon1	yuon1	yuan1	赣			100164		
冥	min5	min4	ming2	赣			107541		
冬	tuŋ1	dung1	dong1	赣			120000		
冯	fuŋ5	fung4	feng2	赣			120000		
冱	fu6	fu5	hu4	赣			15741		
冲	tsʰuŋ1	cung1	chong1	赣			120000		
冲	tsʰuŋ3	cung3	chong1	赣			120000		
决	tɕyot7	jyuot6	jue2	赣			170000		
况	kʰuoŋ3	kuong3	kuang4	赣			120000		
冻	tuŋ5	dung4	dong4	赣			145000		
冽	liet7	liet6	lie4	赣			74203		
凄	tɕʰi1	qi1	qi1	赣			120000		
准	tsun3	zun3	zhun3	赣			120000		
凇	suŋ1	sung1	song1	赣			109420		
凉	liɔŋ5	liong4	liang2	赣			120000		
凋	tieu1	dieu1	diao1	赣			77560		
凌	lin5	lin4	ling2	赣			120000		
减	kan3	gan3	jian3	赣			155000		
凑	tsʰɛu3	ceu3	cou4	赣			300000	再	
凛	lin3	lin3	lin3	赣			104168		
凝	ȵin5	nin4	ning2	赣			120000		
几	tɕi3	ji3	ji3	赣			414956	多	
凡	fan5	fan4	fan2	赣			120000		
凤	fuŋ6	fung5	feng4	赣			120000		
凫	fu5	fu4	fu2	赣			107153		
凯	kʰai3	kai3	kai3	赣			120000		
凰	fɔŋ5	fong4	huang2	赣			120000		
凳	tɛn5	den4	deng4	赣			120000		
凶	ɕiuŋ1	xiung1	xiong1	赣			120000		
凸	tʰiet8	tiet7	tu1	赣			102774		
凹	iɛt7	yet6	ao1	赣			120000		
击	tɕit7	jit6	ji1	赣			220000		
函	hon2	hon2	han2	赣			120000		
凿	tsʰɔʔ8	cok7	zao2	赣			145000		
刀	tau1	dau1	dao1	赣			120000		
刁	tiɛu1	dieu1	diao1	赣			120000		
分	fɨn1	fen1	fen1	赣			430000		
分	fɨn6	fen5	fen1	赣			430000		
切	tɕʰiɛt7	qiet6	qie4	赣			225000		
刈	ȵi6	ni5	yi4	赣			77248		
刊	kʰon1	kon1	kan1	赣			120000		
刍	tɕʰy2	qyu2	chu2	赣			120000		老1
刎	uen3	wun3	wen3	赣			108732		
划	fa2	fa2	hua4	赣			120000		
划	fa6	fa5	hua4	赣			120000		
列	liɛt7	liet6	lie4	赣			290000		
刘	liu5	liu4	liu2	赣			150000		
则	tsɛt7	zet6	ze2	赣			370000		
创	tsʰɔŋ3	cong3	chuang4	赣			233989		
初	tsʰu1	cu1	chu1	赣			150000		
删	san1	san1	shan1	赣			205000		
判	pʰon3	pon3	pan4	赣			120000		
判	pʰɔŋ3	pong3	pan4	赣			120000		
刨	pʰau2	pau2	pao2	赣			108066		
利	li6	li5	li4	赣			120000		
别	pʰiɛt8	piet7	bie2	赣			370000		
别	pʰiɛt7	piet6	bie2	赣			370000		
到	tau5	dau4	dao4	赣	给	gei3	455341		
刳	kʰu1	ku1	ku1	赣			71892		
制	tsɿ5	zi4	zhi4	赣			145000		
刷	sot7	sot6	shua1	赣			255000		
刷	suɛt7	suet6	shua1	赣			255000		
券	tɕyon5	jyuon4	quan4	赣			120000		
刹	sat7	sat6	sha1	赣			120000		
刺	tsʰɿ3	ci3	ci4	赣			120000		
刻	kʰiɛt7	kiet6	ke4	赣			120000		
刽	kui3	gui3	gui4	赣			90000		
刿	kui5	gui4	gui4	赣			53595		
剂	tɕʰi6	qi5	ji4	赣			104868		
剃	tʰi3	ti3	ti4	赣			120000		
剅	teu1	deu1	lou2	赣			12654		
削	ɕiɔʔ7	xiok6	xue1	赣			175000		
前	tɕʰiɛn2	qien2	qian2	赣			412779		
剑	tɕiɛn5	jien4	jian4	赣			120000		
剔	tʰit7	tit6	ti1	赣			145000		
剖	fu3	fu3	pou1	赣			108773		
剜	uon1	won1	wan1	赣			72750		
剞	tɕi3	ji3	ji1	赣			70361		
剡	sen6	sen5	shan4	赣			102712		
剥	pɔʔ7	bok6	bo1	赣			120000		
剧	tɕy5	jyu4	ju4	赣			145000		
剩	sɨn6	sen5	sheng4	赣			145000		
剪	tɕiɛn3	jien3	jian3	赣			120000		
副	fu5	fu4	fu4	赣			220000		
割	kot7	got6	ge1	赣			120000		
剽	pʰieu2	pieu2	piao1	赣			71974		
剿	tɕiɛu3	jieu3	jiao3	赣			120000		
劂	tɕyot7	jyuot6	jue2	赣			10806		
劐	fɔʔ7	fok6	huo1	赣			13265		
力	lit7	lit6	li4	赣			125000		
劝	tɕʰyon3	qyuon3	quan4	赣			145000		
办	pʰan6	pan5	ban4	赣			145000		本1
办	pan5	ban4	ban4	赣			145000		又1
功	kuŋ1	gung1	gong1	赣			150000		
加	ka1	ga1	jia1	赣			370000		
加	ka3	ga3	jia1	赣			370000		
务	u6	wu5	wu4	赣			145000		
劢	mai6	mai5	mai4	赣			77045		
劣	liɛt7	liet6	lie4	赣			120000		
动	tʰuŋ6	tung5	dong4	赣			270000		
助	tsʰu6	cu5	zhu4	赣			120000		
努	lu3	lu3	nu3	赣			120000		
劫	tɕiɛt7	jiet6	jie2	赣			120000		
劬	tɕʰy2	qyu2	qu2	赣			79933		
劭	seu6	seu5	shao4	赣			109236		
励	li6	li5	li4	赣			120000		
劲	tɕin5	jin4	jin4	赣			120000		
劳	lau5	lau4	lao2	赣			145000		
势	sɿ5	si4	shi4	赣			195000		
勃	pʰoʔ7	pok6	bo2	赣			120000		
勇	iuŋ3	yung3	yong3	赣			120000		
勉	miɛn3	mien3	mian3	赣			120000		
勋	ɕyn1	xyun1	xun1	赣			120000		
勍	tɕʰin2	qin2	qing2	赣			15937		
勒	lɛt7	let6	lei1	赣			195000		
勘	kʰon3	kon3	kan1	赣			106652		
勚	y6	yu5	yi4	赣			30000		
募	mu6	mu5	mu4	赣			120000		
勤	tɕʰin2	qin2	qin2	赣			145000		
勰	ɕiet8	xiet7	xie2	赣			74584		
勺	sɔʔ8	sok7	shao2	赣			120000		
勾	kiɛu1	gieu1	gou1	赣			210000		
勿	ut7	wut6	wu4	赣			120000		
匀	yn5	yun4	yun2	赣			120000		
包	pau1	bau1	bao1	赣			325000		
匆	tsʰuŋ1	cung1	cong1	赣			145000		
匈	ɕiuŋ1	xiung1	xiong1	赣			120000		
匍	pʰu2	pu2	pu2	赣			175000	趴	
匏	pʰau2	pau2	pao2	赣			71555		
匐	pʰet8	pet7	fu2	赣			74802	趴	
匕	pi3	bi3	bi3	赣			105633		
化	ɸᴀ5	fa4	hua4	赣			370000		
北	pɛt7	bet6	bei3	赣			235000		
匙	sɿ0	si0	shi5	赣			120000		
匙	tsʰɿ2	ci2	shi5	赣			120000		
匠	tɕʰiɔŋ6	qiong5	jiang4	赣			120000		
匡	kʰuoŋ1	kuong1	kuang1	赣			90000		
匣	hat7	hat6	xia2	赣			120000		
匦	kui3	gui3	gui3	赣			72985		
匪	fɨi3	fei3	fei3	赣			145000		
匮	kʰui6	kui5	kui4	赣			78129		
匹	pʰi2	pi2	pi3	赣			120000		
匹	pʰit7	pit6	pi3	赣			120000		
区	tɕʰy1	qyu1	qu1	赣			470000		
医	i1	yi1	yi1	赣			120000		
匾	piɛn3	bien3	bian3	赣			120000		
匿	ȵit7	nit6	ni4	赣			120000		
千	tɕʰiɛn1	qien1	qian1	赣			160000		
升	sɨn1	sen1	sheng1	赣			120000		
午	u3	wu3	wu3	赣			120000		
卉	fɨi5	fei4	hui4	赣			101225		
半	pon5	bon4	ban4	赣			125000		
华	ɸᴀ5	fa4	hua2	赣			215000		
协	ɕiɛt7	xiet6	xie2	赣			120000		
卑	pi1	bi1	bei1	赣			120000		
卒	tsuət7	zuet6	zu2	赣			120000		
卓	tsɔʔ7	zok6	zhuo2	赣			133886		
单	tan1	dan1	dan1	赣			310000		
单	sɛn6	sen5	dan1	赣			310000		
卖	kʰɔʔ7	kok6	mai4	赣			175000		
卖	mai6	mai5	mai4	赣			175000		
南	lan5	lan4	nan2	赣			180001		
博	pɔʔ7	bok6	bo2	赣			120000		
卜	pʰuʔ7	puk6	bo5	赣			120000		
卞	pʰien6	pien5	bian4	赣			77966		
卟	tɕi1	ji1	bu3	赣			75416		
占	tsɛn5	zen4	zhan4	赣			120000		
占	tsɛn1	zen1	zhan4	赣			120000		
卡	kʰa3	ka3	ka3	赣			370000		
卢	lu5	lu4	lu2	赣			120000		
卣	iu3	yiu3	you3	赣			77370		
卤	lu3	lu3	lu3	赣			120000		
卧	ŋo6	ngo5	wo4	赣			148010		又1
卫	ui6	wui5	wei4	赣			120000		
卮	tsɿ1	zi1	zhi1	赣			78594		
卯	mau3	mau3	mao3	赣			120000		
印	in5	yin4	yin4	赣			120000		
即	tɕit7	jit6	ji2	赣			270000		
却	tɕʰiɔʔ7	qiok6	que4	赣			190000		老1
卷	tɕyon5	jyuon4	juan3	赣			145000		
卷	tɕyon3	jyuon3	juan3	赣			145000		
卸	ɕia5	xia4	xie4	赣			104592		
卺	tɕin3	jin3	jin3	赣			14858		
卿	tɕʰin1	qin1	qing1	赣			120000		
厂	tsʰɔŋ3	cong3	chang3	赣			184000		
厄	ŋiɛt7	ngiet6	e4	赣			90000		
厅	tʰiaŋ1	tiang1	ting1	白			120000		
厅	tʰin1	tin1	ting1	文			120000		
历	lit7	lit6	li4	赣			145000		
厉	li6	li5	li4	赣			120000		
压	ŋat7	ngat6	ya1	赣			180000		
厌	iɛn5	yen4	yan4	赣			120000		
厍	sa5	sa4	she4	赣			101304		
厕	tsʰɛt7	cet6	ce4	赣			170000		
厘	li5	li4	li2	赣			120000		
厚	hɛu6	heu5	hou4	赣			145000		
