本词	国际音标	方言拼音	汉语拼音	词汇属性	对应官话词	官话拼音	词频	同义词	新旧标记
勚		xie	yi4	赣			2400		
勚		yi	yi4	赣			12000		
募		mu	mu4	赣			30000		
勤		qin	qin2	赣			30000		
勰		ha	xie2	赣			12000		
勰		xie	xie2	赣			3000		
勰		ye	xie2	赣			2400		
勺		xio	shao2	赣			120000		
勾		gieu	gou1	赣			30000		
勿		wu	wu4	赣			120000		
匀		yun	yun2	赣			30000		
包		bau	bao1	赣			30000		
匆		ceng	cong1	赣			30000		
匈		xiung	xiong1	赣			120000		
匍		pu	pu2	赣			30000		
匏		pau	pao2	赣			30000		
匐		bu	fu2	赣			6000		
匐		fu	fu2	赣			30000		
匐		pu	fu2	赣			7500		
匕		bi	bi3	赣			30000		
化		fa	hua4	赣			34860		
北		be	bei3	赣			34488		
匙		si	shi5	赣			30000		
匜		ci	yi2	赣			7500		
匜		ji	yi2	赣			6000		
匜		mi	yi2	赣			5000		
匜		qi	yi2	赣			30000		
匠		jiong	jiang4	赣			30000		
匡		kuang	kuang1	赣			7500		
匡		kuong	kuang1	赣			30000		
匣		ha	xia2	赣			7500		
匣		xia	xia2	赣			30000		
匦		gui	gui3	赣			30000		
匪		fi	fei3	赣			120000		
匮		kui	kui4	赣			30000		
匹		pi	pi3	赣			30000		
区		qyu	qu1	赣			39590		
医		yi	yi1	赣			30000		
匾		bien	bian3	赣			30000		
匿		ni	ni4	赣			120000		
十		si	shi2	赣			120000		
千		qien	qian1	赣			30000		
升		sen	sheng1	赣			120000		
午		wu	wu3	赣			30000		
卉		fi	hui4	赣			3000		
卉		qiung	hui4	赣			12000		
半		bon	ban4	赣			30000		
华		fa	hua2	赣			30000		
协		xie	xie2	赣			30000		
卑		bi	bei1	赣			30000		
卒		zu	zu2	赣			30000		
卓		zo	zhuo2	赣			30000		
单		dan	dan1	赣			30000		
卖		mai	mai4	赣			30000		
南		lan	nan2	赣			30000		
南		lang	nan2	赣			120000		
博		bo	bo2	赣			60000		
卜		bu	bo5	赣			30000		
卞		pien	bian4	赣			12000		
卟		ji	bu3	赣			30000		
卟		qi	bu3	赣			7500		
占		zen	zhan4	赣			30000		
卡		ka	ka3	赣			30000		
卢		lu	lu2	赣			30000		
卣		yeu	you3	赣			7500		
卣		yiu	you3	赣			30000		
卤		lu	lu3	赣			120000		
卦		gua	gua4	赣			30000		
卧		ngo	wo4	赣			30000		
卧		wo	wo4	赣			7500		
卫		wei	wei4	赣			120000		
卮		jia	zhi1	赣			7500		
卮		si	zhi1	赣			6000		
卮		zi	zhi1	赣			30000		
卯		cau	mao3	赣			12000		
卯		ngau	mao3	赣			2000		
卯		qieu	mao3	赣			3000		
卯		za	mao3	赣			2400		
印		yin	yin4	赣			30000		
危		wei	wei1	赣			30000		
即		ji	ji2	赣			34677		
却		ko	que4	赣			61348		
卵		lon	luan3	赣			30000		
卷		jon	juan3	赣			30000		
卸		ha	xie4	赣			30000		
卺		jin	jin3	赣			30000		
卿		qin	qing1	赣			30000		
厂		qiong	chang3	赣			120000		
厄		nga	e4	赣			3000		
厄		ngo	e4	赣			12000		
厅		tiang	ting1	赣			60000		
历		li	li4	赣			34460		
厉		li	li4	赣			30000		
压		nga	ya1	赣			30000		
厌		yen	yan4	赣			30000		
厍		ci	she4	赣			30000		
厍		xia	she4	赣			120000		
厕		ce	ce4	赣			120000		
厕		te	ce4	赣			120000		
厘		li	li2	赣			30000		
厚		heu	hou4	赣			30000		
厝		co	cuo4	赣			12000		
厝		cu	cuo4	赣			3000		
厝		sau	cuo4	赣			2400		
厝		xi	cuo4	赣			2000		
原		nyuon	yuan2	赣			30000		
原		yon	yuan2	赣			7500		
厢		xiong	xiang1	赣			30000		
厣		yen	yan3	赣			30000		
厥		gai	jue2	赣			7500		
厥		qyu	jue2	赣			30000		
厦		ha	sha4	赣			30000		
厨		qyu	chu2	赣			30000		
厩		jiu	jiu4	赣			30000		
厩		yiu	jiu4	赣			7500		
厮		su	si1	赣			30000		
去		qie	qu4	赣			123402		
县		xyuon	xian4	赣			30000		
叁		san	san1	赣			30000		
参		can	can1	赣			120000		
又		yiu	you4	赣			150749		
叉		ca	cha1	赣			120000		
及		ji	ji2	赣			49988		
友		yiu	you3	赣			120000		
双		song	shuang1	赣			120000		
反		fan	fan3	赣			120000		
发		fai	fa1	赣			120000		
发		fak	fa1	赣			30000		
叔		xu	shu1	赣			120000		
叔		xyu	shu1	赣			120000		
取		qi	qu3	赣			30000		
取		qyu	qu3	赣			7500		
受		seu	shou4	赣			30000		
变		bien	bian4	赣			30000		
叙		xyu	xu4	赣			120000		
叛		pan	pan4	赣			7500		
叛		pon	pan4	赣			30000		
叟		cau	sou3	赣			30000		
叠		die	die2	赣			30000		
口		kieu	kou3	赣			30000		
古		gu	gu3	赣			30000		
句		jyu	ju4	赣			30000		
另		lin	ling4	赣			30000		
叨		dau	dao1	赣			30000		
叩		kieu	kou4	赣			30000		
只		jia	zhi3	赣			30000		
只		zi	zhi3	赣			101442		
